Cycle start time,Cycle end time,Cycle timezone,Workout start time,Workout end time,Duration (min),Activity name,Activity Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),HR Zone 1 %,HR Zone 2 %,HR Zone 3 %,HR Zone 4 %,HR Zone 5 %,GPS enabled,Distance (meters),Altitude gain (meters),Altitude change (meters)
2024-08-08 00:56:02,,UTC-07:00,2024-08-08 18:05:00,2024-08-08 20:51:00,166,Weightlifting,8.7,254.0,128,82,18,4,0,0,0,false,,,
2024-08-07 00:37:15,2024-08-08 00:56:02,UTC-07:00,2024-08-07 18:05:00,2024-08-07 20:19:00,134,Rowing,13.8,835.0,167,116,16,19,21,16,0,false,,,
2024-08-07 00:37:15,2024-08-08 00:56:02,UTC-07:00,2024-08-07 16:40:30,2024-08-07 17:01:29,20,Walking,4.3,41.0,117,94,62,2,0,0,0,false,,,
2024-08-06 01:48:24,2024-08-07 00:37:15,UTC-07:00,2024-08-06 19:40:30,2024-08-06 20:07:29,26,Spin,7.6,212.0,161,127,8,41,32,14,0,false,,,
2024-08-06 01:48:24,2024-08-07 00:37:15,UTC-07:00,2024-08-06 18:21:00,2024-08-06 19:39:00,78,Weightlifting,9.0,118.0,123,83,21,1,0,0,0,false,,,
2024-08-05 01:51:33,2024-08-06 01:48:24,UTC-07:00,2024-08-05 21:34:00,2024-08-05 22:04:29,30,Cycling,9.4,269.0,168,132,19,21,19,39,0,false,,,
2024-08-05 01:51:33,2024-08-06 01:48:24,UTC-07:00,2024-08-05 20:33:00,2024-08-05 21:34:00,61,Weightlifting,8.2,101.0,120,84,30,3,0,0,0,false,,,
2024-08-04 00:04:08,2024-08-05 01:51:33,UTC-07:00,2024-08-04 16:24:00,2024-08-04 17:38:59,74,Cycling,12.1,568.0,164,125,18,18,46,10,0,false,,,
2024-08-02 01:45:16,2024-08-03 01:52:12,UTC-07:00,2024-08-02 21:45:00,2024-08-02 22:02:59,17,Weightlifting,4.7,65.0,154,106,55,36,5,0,0,false,,,
2024-08-02 01:45:16,2024-08-03 01:52:12,UTC-07:00,2024-08-02 20:31:22,2024-08-02 21:12:32,41,Running,15.6,624.0,191,164,0,1,4,69,26,false,,,
2024-08-01 01:03:24,2024-08-02 01:45:16,UTC-07:00,2024-08-01 18:39:15,2024-08-01 19:14:17,35,Cycling,9.8,333.0,166,136,4,26,52,18,0,false,,,
2024-08-01 01:03:24,2024-08-02 01:45:16,UTC-07:00,2024-08-01 17:14:00,2024-08-01 18:30:00,76,Weightlifting,13.0,179.0,139,97,55,17,0,0,0,false,,,
2024-07-30 00:34:54,2024-07-31 00:26:58,UTC-07:00,2024-07-30 18:57:00,2024-07-30 19:23:59,26,Spin,8.1,236.0,160,133,4,36,42,17,0,false,,,
2024-07-28 22:59:03,2024-07-30 00:34:54,UTC-07:00,2024-07-29 16:43:30,2024-07-29 17:29:59,46,Running,13.7,519.0,175,144,5,27,11,49,8,false,,,
2024-07-27 01:00:13,2024-07-28 03:19:32,UTC-07:00,2024-07-27 11:18:00,2024-07-27 12:02:59,44,Weightlifting,5.4,138.0,142,104,67,25,1,0,0,false,,,
2024-07-27 01:00:13,2024-07-28 03:19:32,UTC-07:00,2024-07-27 10:37:32,2024-07-27 10:56:52,19,Cycling,6.2,136.0,156,124,23,37,33,7,0,false,,,
2024-07-25 23:49:19,2024-07-27 01:00:13,UTC-07:00,2024-07-26 19:55:00,2024-07-26 21:05:01,70,Rowing,13.1,636.0,170,132,3,18,43,27,0,false,,,
